schema,table,column,inferred_dtype
manufacturing,petrochemicals_emissions_sources_confidence,start_time,timestamp
agriculture,synthetic_fertilizer_application_country_emissions,modified_date,timestamp
transportation,railways_country_emissions,created_date,timestamp
manufacturing,aluminum_country_emissions,modified_date,timestamp
forestry_and_land_use,removals_emissions_sources,source_id,bigint
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_confiden,source_id,bigint
mineral_extraction,copper_mining_emissions_sources,lon,float4
fossil_fuel_operations,oil_and_gas_production_and_transport_country_emissions,emissions_quantity,float4
mineral_extraction,iron_mining_emissions_sources_ownership,ultimate_parent_id,float8
transportation,international_aviation_emissions_sources_ownership,lat,float4
transportation,domestic_shipping_emissions_sources_confidence,source_id,bigint
forestry_and_land_use,net_forest_land_country_emissions,emissions_quantity,float4
agriculture,cropland_fires_emissions_sources,source_id,bigint
forestry_and_land_use,net_shrubgrass_emissions_sources_confidence,modified_date,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,ultimate_parent_id,float8
mineral_extraction,bauxite_mining_country_emissions,end_time,timestamp
agriculture,manure_management_other_country_emissions,start_time,timestamp
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,emissions_factor,float8
forestry_and_land_use,removals_emissions_sources,lat,float4
forestry_and_land_use,net_forest_land_emissions_sources_confidence,created_date,timestamp
mineral_extraction,iron_mining_country_emissions,start_time,timestamp
forestry_and_land_use,water_reservoirs_emissions_sources,emissions_factor,float8
manufacturing,aluminum_emissions_sources_ownership,lon,float4
transportation,road_transportation_country_emissions,start_time,timestamp
power,electricity_generation_emissions_sources_ownership,lat,float4
manufacturing,chemicals_country_emissions,modified_date,timestamp
forestry_and_land_use,shrubgrass_fires_emissions_sources,created_date,timestamp
transportation,road_transportation_emissions_sources,modified_date,timestamp
manufacturing,steel_emissions_sources_ownership,lon,float4
mineral_extraction,copper_mining_country_emissions,end_time,timestamp
mineral_extraction,copper_mining_emissions_sources_ownership,ultimate_parent_id,float8
agriculture,cropland_fires_emissions_sources,lat,float4
mineral_extraction,bauxite_mining_emissions_sources_ownership,end_date,timestamp
transportation,domestic_aviation_country_emissions,emissions_quantity,float4
manufacturing,aluminum_emissions_sources,start_time,timestamp
